Last name, First name, SSN,Test1, Test2, Test3, Test4, Final, Grade
Alfalfa,   Aloysius,   123-45-6789,40,90,100,83,49,72.4
Alfred,    University, 123-12-1234,41,97,96,97,48,75.8
Gerty,     Gramma,     567-89-0123,41,80,60,40,44,53
Android,   Electric,   087-65-4321,42,23,36,45,47,38.6
Bumpkin,   Fred,       456-78-9012,43,78,88,77,45,66.2
Rubble,    Betty,      234-56-7890,44,90,80,90,46,70
Noshow,    Cecil,      345-67-8901,45,11,-1,4,43,20.4
Buff,      Bif,        632-79-9939,46,20,30,40,50,37.2
Airpump,   Andrew,     223-45-6789,40,90,100,83,100,82.6
Backus,    Jim,        143-12-1234,48,1,97,96,97,67.8
Carnivore, Art,        565-89-0123,44,1,80,60,40,45
Dandy,     Jim,        087-75-4321,47,1,23,36,45,30.4
Elephant,  Ima,        456-71-9012,45,1,78,88,77,57.8
Franklin,  Benny,      234-56-2890,50,1,90,80,90,62.2
George,    Boy,        345-67-3901,40,1,11,-1,4,11
Heffalump, Harvey,     632-79-9439,30,1,20,30,40,24.2
